 input list : 
x 	 y 	 pValue 
3897 	 3468 	 563
3898 	 3468 	 2761
3897 	 3469 	 431
3898 	 3469 	 3890
3898 	 3470 	 715
3898 	 3471 	 797
3899 	 3471 	 390
3898 	 3472 	 126
3899 	 3472 	 383
3899 	 3473 	 699
3899 	 3474 	 1222
3899 	 3475 	 547
3900 	 3475 	 183
3899 	 3476 	 101
3900 	 3476 	 617
3900 	 3477 	 619
3900 	 3478 	 832
3900 	 3479 	 431
3901 	 3479 	 163
3900 	 3480 	 150
3901 	 3480 	 1051
3901 	 3481 	 1024
3901 	 3482 	 857
3901 	 3483 	 693
3902 	 3483 	 235
3901 	 3484 	 144
3902 	 3484 	 941
3902 	 3485 	 928
3902 	 3486 	 586
3902 	 3487 	 829
3903 	 3487 	 370
3902 	 3488 	 168
3903 	 3488 	 1261
3903 	 3489 	 846
3903 	 3490 	 985
3903 	 3491 	 617
3904 	 3491 	 706
3903 	 3492 	 246
3904 	 3492 	 836
3904 	 3493 	 2865
3904 	 3494 	 506
3904 	 3495 	 454
3905 	 3495 	 303
3904 	 3496 	 10059
3905 	 3496 	 2552
3905 	 3497 	 733
3905 	 3498 	 901
3905 	 3499 	 689
3906 	 3499 	 226
3905 	 3500 	 37
3906 	 3500 	 745
3906 	 3501 	 382
3906 	 3502 	 1061
3906 	 3503 	 416
3907 	 3503 	 597
3907 	 3504 	 1411
3907 	 3505 	 632
3907 	 3506 	 1617
3907 	 3507 	 446
3908 	 3507 	 353
3907 	 3508 	 38
3908 	 3508 	 1066
3908 	 3509 	 1135
3908 	 3510 	 741
3908 	 3511 	 685
3909 	 3511 	 1161
3908 	 3512 	 194
3909 	 3512 	 1740
3909 	 3513 	 1175
3909 	 3514 	 1267
3909 	 3515 	 280
3910 	 3515 	 275
3910 	 3516 	 702
3910 	 3517 	 2115
3910 	 3518 	 2709
3910 	 3519 	 279
3911 	 3519 	 227
3911 	 3520 	 779
3911 	 3521 	 886
3911 	 3522 	 1889
3912 	 3522 	 37
3911 	 3523 	 1894
3912 	 3523 	 816
3912 	 3524 	 742
3912 	 3525 	 2331
3912 	 3526 	 1041
3912 	 3527 	 717
3913 	 3527 	 1787
3913 	 3528 	 897
3913 	 3529 	 744
3913 	 3530 	 467
3913 	 3531 	 265
3914 	 3531 	 311
3914 	 3532 	 1133
3914 	 3533 	 1436
3914 	 3534 	 670
3914 	 3535 	 356
3915 	 3535 	 459
3915 	 3536 	 1472
3915 	 3537 	 1000
3915 	 3538 	 1110
3915 	 3539 	 1070
3916 	 3539 	 593
3916 	 3540 	 1015
3916 	 3541 	 2294
3916 	 3542 	 2658
3916 	 3543 	 506
3917 	 3543 	 535
3917 	 3544 	 721
3917 	 3545 	 670
3917 	 3546 	 468
3917 	 3547 	 1306
3918 	 3547 	 2070
3918 	 3548 	 1936
3918 	 3549 	 964
3918 	 3550 	 1011
3918 	 3551 	 297
3919 	 3551 	 472
3919 	 3552 	 1482
3919 	 3553 	 765
3919 	 3554 	 620
3919 	 3555 	 570
3920 	 3555 	 357
3920 	 3556 	 678
3920 	 3557 	 915
3920 	 3558 	 2398
3920 	 3559 	 679
3921 	 3559 	 400
3921 	 3560 	 594
3921 	 3561 	 3979
3921 	 3562 	 2852
3921 	 3563 	 362
3922 	 3563 	 534
3922 	 3564 	 6294
3922 	 3565 	 1020
3922 	 3566 	 1002
3922 	 3567 	 377
3923 	 3567 	 887
3923 	 3568 	 1040
3923 	 3569 	 677
3923 	 3570 	 46
3880 	 3371 	 59
 number of pixels in the cluster =  677


